,path,label_numeric,count_class
0,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem1.png,0,1.0
1,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem2.png,1,12.0
2,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem3.png,2,8.0
3,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem4.png,2,8.0
4,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem5.png,2,8.0
5,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem6.png,3,1.0
6,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem7.png,2,8.0
7,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem8.png,2,8.0
8,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem9.png,2,8.0
9,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem10.png,2,8.0
10,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem11.png,2,8.0
11,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem12.png,1,12.0
12,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem13.png,1,12.0
13,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem14.png,1,12.0
14,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem15.png,1,12.0
15,/content/drive/MyDrive/PROJETO_ZOOMBEE/IMAGENS_CATALOGO/imgs_catalogo/imagem16.png,1,12.0
